mainD,threadPitch,midD,internalD,mind
8,1.5,7.25,6.2,6.2
8,2,7,5.5,5.5
9,1.5,8.25,7.2,7.2
9,2,8,6.5,6.5
10,1.5,9.25,8.2,8.2
10,2,9,7.5,7.5
11,2,10,8.5,8.5
11,3,9.5,7.5,7.5
12,2,11,9.5,9.5
12,3,10.5,8.5,8.5
14,2,13,11.5,11.5
14,3,12.5,10.5,10.5
16,2,15,13.5,13.5
16,4,14,11.5,11.5
18,2,17,15.5,15.5
18,4,16,13.5,13.5
20,2,19,17.5,17.5
20,4,18,15.5,15.5
22,2,21,19.5,19.5
22,3,20.5,18.5,18.5
22,5,19.5,16.5,16.5
22,8,18,13,13
24,2,23,21.5,21.5
24,3,22.5,20.5,20.5
24,5,21.5,18.5,18.5
24,8,20,15,15
26,2,25,23.5,23.5
26,3,24.5,22.5,22.5
26,5,23.5,20.5,20.5
26,8,22,17,17
28,2,27,25.5,25.5
28,3,26.5,24.5,24.5
28,5,25.5,22.5,22.5
28,8,24,19,19
30,3,28.5,26.5,26.5
30,6,27,23,23
30,10,25,19,19
32,3,30.5,28.5,28.5
32,6,29,25,25
32,10,27,21,21
34,3,32.5,30.5,30.5
34,6,31,27,27
34,10,29,23,23
36,3,34.5,32.5,32.5
36,6,33,29,29
36,10,31,25,25
38,3,36.5,34.5,34.5
38,6,35,31,31
38,7,34.5,30,30
38,10,33,27,27
40,3,38.5,36.5,36.5
40,6,37,33,33
40,7,36.5,32,32
40,10,35,29,29
42,3,40.5,38.5,38.5
42,6,39,35,35
42,7,38.5,34,34
42,10,37,31,31
44,3,42.5,40.5,40.5
44,7,40.5,36,36
44,8,40,35,35
44,12,38,31,31
46,3,44.5,42.5,42.5
46,8,42,37,37
46,12,40,33,33
48,3,46.5,44.5,44.5
48,8,44,39,39
48,12,42,35,35
50,3,48.5,46.5,46.5
50,8,46,41,41
50,12,44,37,37
52,3,50.5,48.5,48.5
52,8,48,43,43
52,12,46,39,39
55,3,53.5,51.5,51.5
55,8,51,46,46
55,9,50.5,45,45
55,12,49,42,42
55,14,48,39,39
60,3,58.5,56.5,56.5
60,8,56,51,51
60,9,55.5,50,50
60,12,54,47,47
60,14,53,44,44
65,4,63,60.5,60.5
65,10,60,54,54
65,16,57,47,47
70,4,68,65.5,65.5
70,10,65,59,59
70,16,62,52,52
75,4,73,70.5,70.5
75,10,70,64,64
75,16,67,57,57
80,4,78,75.5,75.5
80,10,75,69,69
80,16,72,62,62
85,4,83,80.5,80.5
85,5,82.5,79.5,79.5
85,12,79,72,72
85,18,76,65,65
85,20,75,63,63
90,4,88,85.5,85.5
90,5,87.5,84.5,84.5
90,12,84,77,77
90,18,81,70,70
90,20,80,68,68
95,4,93,90.5,90.5
95,5,92.5,89.5,89.5
95,12,89,82,82
95,18,86,75,75
95,20,85,73,73
100,4,98,95.5,95.5
100,5,97.5,94.5,94.5
100,12,94,87,87
100,20,90,78,78
110,4,108,105.5,105.5
110,5,107.5,104.5,104.5
110,12,104,97,97
110,20,100,88,88
120,6,117,113,113
120,14,113,104,104
120,16,112,102,102
120,22,109,96,96
120,24,108,94,94
130,6,127,123,123
130,14,123,114,114
130,16,122,112,112
130,22,119,106,106
130,24,118,104,104
140,6,137,133,133
140,14,133,124,124
140,16,132,122,122
140,24,128,114,114
150,6,147,143,143
150,16,142,132,132
150,24,138,124,124
160,6,157,153,153
160,8,156,151,151
160,16,152,142,142
160,24,148,134,134
160,28,146,130,130
170,6,167,163,163
170,8,166,161,161
170,16,162,152,152
170,24,158,144,144
170,28,156,140,140
180,8,176,171,171
180,18,171,160,160
180,20,170,158,158
180,28,166,150,150
180,32,164,146,146
190,8,186,181,181
190,18,181,170,170
190,20,180,168,168
190,32,174,156,156
200,8,196,191,191
200,10,195,189,189
200,18,191,180,180
200,20,190,178,178
200,32,184,166,166
210,8,206,201,201
210,10,205,199,199
210,20,200,180,180
210,32,194,176,176
210,36,192,172,172
220,8,216,211,211
220,10,215,209,209
220,20,210,198,198
220,32,204,186,186
220,36,202,182,182
230,8,226,221,221
230,20,220,208,208
230,36,212,192,192
240,8,236,231,231
240,12,234,227,227
240,22,229,216,216
240,24,228,214,214
240,36,222,202,202
240,40,220,198,198
250,12,244,237,237
250,22,239,226,226
250,24,238,224,224
250,40,230,208,208
260,12,254,247,247
260,22,249,236,236
260,24,248,234,234
260,40,240,218,218
270,12,264,257,257
270,24,258,244,244
270,40,250,228,228
280,12,274,267,267
280,24,268,254,254
280,40,260,238,238
290,12,284,277,277
290,24,278,264,264
290,44,268,244,244
300,12,294,287,287
300,24,288,274,274
300,40,280,258,258
300,44,278,254,254
320,12,314,307,307
320,48,296,270,270
340,12,334,327,327
340,48,316,290,290
360,12,354,347,347
360,48,336,310,310
380,12,374,367,367
380,48,356,330,330
400,12,394,387,387
400,48,376,350,350
420,16,412,402,402
440,16,432,422,422
460,16,452,442,442
480,16,472,462,462
500,16,492,482,482
520,20,510,498,498
540,20,530,518,518
560,20,550,538,538
580,20,570,558,558
600,24,588,574,574
620,24,608,594,594
640,24,628,614,614
